"isrc";"artist_id";"streams";"weeks_in_charts";"n_regions";"danceability";"energy";"speechiness";"instrumentalness";"liveness";"valence";"tempo";"song_length";"song_age";"explicit";"n_playlists";"sp_popularity";"youtube_views";"tiktok_counts";"ins_followers_artist";"monthly_listeners_artist";"playlist_total_reach_artist";"sp_fans_artist";"shazam_counts";"artistName";"trackName";"release_date";"genre";"label";"top10";"expert_rating"
"NL1CK1900001";213336;25186939;406;2;70,4;57,1;4,63;0;29,9;49,4;98,007;3,04491666666667;77,2857142857143;0;293;57;12727662;77900;235474;1560195;6471435;23314;196704;"Suzan & Freek";"Blauwe Dag";"2019-06-28";"Pop";"Sony Music";1;"poor"
"TWC150101002";214840;35346;11;1;67;98,3;8,25;0;2,16;56,3;99,967;4,08888333333333;1033,28571428571;0;14;33;0;0;0;43186;264936;15;0;"黃立行";"Circus Monkey";"2001-01-12";"Pop";"Warner Music";0;"good"
"ES5021700065";207066;65237;3;1;60,6;70,5;3,35;0;10,2;40,1;117,737;3,90888333333333;210,285714285714;0;13;47;0;0;122776;2647083;10663050;218333;2245;"Joaquín Sabina";"Sin Pena Ni Gloria";"2017-03-09";"Pop";"Sony Music";0;"excellent"
"GBUM71604605";3986;23736767;94;35;32,2;35,2;3,09;0,33;11;26,6;70,429;4,63933333333333;213,142857142857;0;3370;69;186872581;2104;18614086;19370584;104855952;3531982;1139668;"Lana Del Rey";"Love";"2017-02-18";"Rock";"Universal Music";1;"good"
"BXG6R2000126";340577;30084588;251;1;79,6;80,7;21,3;0,000928;9,04;51,7;159,859;2,9625;55,1428571428572;0;175;67;0;96;0;484919;2878239;88102;46473;"Mc Pierre feat. Dj Guuga";"Cabaré";"2020-02-29";"other";"Independent";1;"poor"
"ES5021702380";209585;1435740;63;1;71,5;90,6;28;0;11,2;77,7;101,088;2,86666666666667;178,428571428571;0;249;62;25969840;6838;515245;2859449;9346707;25999;201946;"Rozalén feat. Estopa";"Vivir";"2017-10-18";"Pop";"Sony Music";0;"excellent"
"QMFME2038757";206557;26846376;121;35;54,7;60,5;4,15;0;12,5;36,4;121,953;4,24916666666667;17,2857142857143;0;227;81;0;24100;38700892;26147576;152858657;2166028;170197;"BTS";"Blue & Grey";"2020-11-20";"other";"Independent";1;"poor"
"SE5R71900201";3401;16349143;7;31;80,2;64,5;7,15;0;11,9;37,6;100,001;2,62003333333333;101,571428571429;0;4834;76;100540554;125800;6965707;25823871;155754472;7167604;3552514;"Avicii feat. Aloe Blacc";"SOS";"2019-04-10";"Electro/Dance";"Universal Music";1;"excellent"
"USAR19900033";2028;66788;1;2;60,9;92,3;3,38;0,000473;29,5;96,1;115,996;4,91645;1135,71428571429;0;7253;63;229153222;1540;217624;7889053;43805806;921099;3571292;"Santana feat. Rob Thomas";"Smooth (feat. Rob Thomas)";"1999-06-14";"Rock";"Sony Music";0;"fair"
"FR10S1877916";801405;2990631;63;1;73,9;75,1;4,21;0;32,7;76,6;148,079;3,73013333333333;156,285714285714;1;87;47;296622;1073;20793;164323;106900;501;52691;"Snipe";"Kein Engel";"2018-03-22";"HipHop/Rap";"Independent";0;"fair"
